Style-Fabric-Color,Gender,Birth Season,Comm. Category SubGroup,new,vip,revenue
BELT CALF LEATHER-Black-Ruthenium,Male,Fall / Winter 2013-2014,BELT,326,3,252083.4388
BELT CALF LEATHER-Black-Ruthenium,Male,Fall / Winter 2016-2017,BELT,76,1,63495.62433
"BELT H.3,5CM/ROUND ENGRAVED LION 6CM BUCKLE  VITELLO OPACO-Black---Light Gold",Male,Spring / Summer 2018,BELT,5,0,1637.257538
"BELT H.3,5CM/ROUND LION 6CM BUCKLE CUOIO-Black-Nickel",Male,Spring / Summer 2017,BELT,67,0,24748.4803
BELT H.30 CALF LEATHER-Black Black Palladium,Female,Fall / Winter 2016-2017,BELT,1,1,1572.79718
BELT H.30 CALF LEATHER-Black-Gold,Female,Spring  / Summer 2012,BELT,1,1,1416.17601
BELT H.30 CALF LEATHER-Black-Light Gold,Female,Spring / Summer 2015,BELT,54,1,39245.02831
BELT H.30 CALF LEATHER-LILAC-BLACK-LIGHT GOLD,Female,Spring / Summer 2018,BELT,9,2,6121.673386
BELT H.30 CALF LEATHER-Red Shiny dark gold,Female,Spring  / Summer 2013,BELT,1,0,417.5467224
BELT H.30 CALF LEATHER-RED-BLACK-LIGHT GOLD,Female,Spring / Summer 2018,BELT,8,0,5132.087967
BELT H.3CM CUOIO-Black-Nickel,Female,Spring / Summer 2018,BELT,2,0,713.0992126
BELT H.40 CALF LEATHER-Black Antiqued Palladium,Male,Fall / Winter 2014-2015,BELT,16,0,17038.43967
BELT H.40 CALF LEATHER-Black Warm Gold,Male,Fall / Winter 2014-2015,BELT,508,12,427842.8109
BELT H.40 CALF LEATHER-Black-Light Gold,Female,Spring / Summer 2015,BELT,21,0,12700.88022
BELT H.40 CALF LEATHER-Black-Ruthenium,Male,Fall / Winter 2011-2012,BELT,144,3,111758.8156
BELT H.40 CALF LEATHER-Bugloss-Black-Light Gold,Female,Spring / Summer 2018,BELT,7,0,3012.266296
BELT H.40 CALF LEATHER-Cardinal Red Warm gold,Male,Spring / Summer 2015,BELT,4,0,3320.036011
BELT H.40 CALF LEATHER-Cobalt blue Palladium,Male,Spring / Summer 2017,BELT,5,0,2755.843872
BELT H.40 CALF LEATHER-Nero Nero lucido Rutenio,Male,Fall / Winter 2017-2018,BELT,19,0,24009.63837
BELT H.4CM/ENAMELLED "RODEO" OVAL BUCKLE VITELLO OPACO-Black-Nickel,Male,Spring / Summer 2018,BELT,1,0,479.7141724
BELT-BLACK,Male,Spring / Summer 2018,BELT,6,0,2777.767128
BELTBAG  NYLON-Blu Navy+Black,Male,Fall / Winter 2017-2018,BAGS,15,1,14579.98477
BERMUDA UOMO TESSUTO-Black,Male,Spring / Summer 2017,RTW,0,0,130.7216187
BERMUDA-BLUE,Female,Spring / Summer 2018,RTW,1,0,603.949234
BERMUDA-BLUE BLUE MULT,Male,Spring / Summer 2018,RTW,3,0,785.7984695
BERMUDA-BLUE MULT,Female,Spring / Summer 2018,RTW,1,0,694.8738403
BERMUDA-BLUE SHERWOOD,Male,Spring / Summer 2018,RTW,1,0,286.2726364
BERMUDA-BLUE-WHITE,Male,Spring / Summer 2018,RTW,2,0,445.8103638
BERMUDA-BLUE-WHITE BLUE-ROYAL,Male,Spring / Summer 2018,RTW,2,0,783.0707245
BICCHIERE CON MANICO I LOVE BAROQUE-FORMA 1931,Unisex,Not Seasonal 2017,HOME,1,1,1728.381378
BLOUSON DENIM/JEANS DONNA-blue,Female,Spring / Summer 2018,RTW,3,0,9318.702332
BLOUSON DENIM/JEANS DONNA-rose + print,Female,Spring / Summer 2018,RTW,0,3,21260.51367
BLOUSON DONNA TESSUTO-Green,Female,Spring / Summer 2018,RTW,0,0,575.6972046
BLOUSON IMBOTTITO-black - white - green,Male,Spring / Summer 2018,RTW,0,1,4909.976318
BLOUSON REVERSIBILE UOMO TESSUTO STAMPATO-white-black-multicolor,Male,Spring / Summer 2018,RTW,7,0,9141.016632
BLOUSON REVERSIBILE UOMO TESSUTO-Black,Male,Spring / Summer 2018,RTW,4,0,3153.04483
BLOUSON SMANICATO UOMO TESSUTO-Black,Male,Spring / Summer 2018,RTW,0,0,680.1288452
BLOUSON TESSUTO-Black,Male,Spring / Summer 2018,RTW,31,5,202437.8759
BLOUSON UOMO DENIM/JEANS-Black,Male,Spring / Summer 2018,RTW,0,0,2010.019714
BLOUSON UOMO DENIM/JEANS-Denim Blue,Male,Spring / Summer 2018,RTW,8,0,2792.835648
BLOUSON UOMO JERSEY-black+print,Male,Spring / Summer 2018,RTW,11,0,8450.483673
BLOUSON UOMO TESSUTO STAMPATO-black-greeg-red,Male,Spring / Summer 2018,RTW,0,0,2677.166229
BLOUSON UOMO TESSUTO-Black,Male,Fall / Winter 2017-2018,RTW,2,0,790.9042358
BLOUSON UOMO TESSUTO-Black,Male,Spring / Summer 2017,RTW,1,0,690.2576904
BLOUSON UOMO TESSUTO-black+print,Male,Spring / Summer 2018,RTW,0,0,1552.713501
BLOUSON UOMO TESSUTO-dark grey-black,Male,Fall / Winter 2017-2018,RTW,1,0,642.5572357
BLOUSON UOMODENIM/JEANS-denim blue,Male,Spring / Summer 2018,RTW,5,0,3887.874756
BLOUSON ZIPPATO CON APPLICAZIONI BAROCCHE-black,Male,Fall / Winter 2017-2018,RTW,0,0,1099.94519
BLOUSONE PELLE DONNA-Navy-Red-Blue-White,Female,Spring / Summer 2018,RTW,1,0,3077.765869
BLOUSONE PELLE-Black,Male,Spring / Summer 2018,RTW,50,9,368414.625
BLOUSONE UOMO PELLE-Black,Male,Spring / Summer 2017,RTW,1,0,539.9522705
BOBBY PIN METAL-Tribute Gold,Female,Spring / Summer 2018,FASHION JEWELRY,51,2,32662.50245
BODY TESSUTO-Black,Female,Spring / Summer 2018,RTW,2,3,8542.234222
BODY TESSUTO-Black + Print,Female,Spring / Summer 2018,RTW,7,6,30225.87665
BOMBER UOMO TESSUTO-Red,Male,Spring / Summer 2017,RTW,1,0,457.5606079
BOOT FABRIC + CALF LEATHER-Black,Male,Fall / Winter 2017-2018,SHOES,1,0,3280.811951
BOOTIE LEATHER SOLE  H.85  COTONE STRETCH LOGATO-Black-Fluo Fuchsia+Fuchsia Heel,Female,Spring / Summer 2018,SHOES,5,0,3792.426208
BORSA  CALF-Black Warm Gold,Male,Fall / Winter 2017-2018,BAGS,24,0,65241.01874
BORSA  CALF-Black Warm Gold,Male,Spring / Summer 2016,BAGS,34,1,85284.92273
BORSA  CALF-Navy-Gold,Male,Spring / Summer 2018,BAGS,31,2,77199.85474
BORSA CALF-Black Warm Gold,Male,Fall / Winter 2015-2016,BAGS,80,2,154012.6178
BORSA CALF-Cardinal Red Warm gold,Male,Spring / Summer 2018,BAGS,4,0,15733.30255
BORSA CALF-Navy-Gold,Male,Spring / Summer 2018,BAGS,14,1,31673.92938
BORSA CAMOSCIO LAMINATO + STRASS-Black Black Light Gold,Female,Fall / Winter 2015-2016,BAGS,2,0,10959.9231
BORSA CAMOSCIO LAMINATO + STRASS-Blue Eyes Light Gold,Female,Fall / Winter 2016-2017,BAGS,0,1,10356.3385
BORSA CAMOSCIO LAV. STRASS DIS. ARAN + NAPPA-Black Light Chrome Palladium,Female,Fall / Winter 2016-2017,BAGS,2,0,7443.134888
BORSA COCCODRILLO-Baja Blue-Tribute Gold,Female,Spring / Summer 2018,BAGS,0,0,15493.36914
BORSA COCCODRILLO-BLACK-TRIBUTE GOLD,Female,Spring / Summer 2018,BAGS,0,1,30202.94336
BORSA NAPPA + STRASS + BORCHIE-BLACK-LIGHT GOLD-RUTHENIUM,Female,Spring / Summer 2018,BAGS,11,0,41015.41895
BORSA NAPPA LAMINATA-Gold-Black-Tribute Gold,Female,Spring / Summer 2018,BAGS,10,0,17653.90637
BORSA NAPPA TRAPUNATA BAROCCO-Black Black Light Gold,Female,Fall / Winter 2017-2018,BAGS,36,1,125843.8717
BORSA NAPPA-Black Black Light Gold,Female,Fall / Winter 2016-2017,BAGS,10,0,23909.13501
BORSA NAPPA-Black Black Light Gold,Female,Spring / Summer 2016,BAGS,14,0,39138.73535
BORSA NAPPA-Black-Light Gold,Female,Fall / Winter 2017-2018,BAGS,11,1,17242.64807
BORSA NAPPA-Black-Light Gold,Female,Spring / Summer 2016,BAGS,7,0,15556.04272
BORSA NAPPA-Bugloss-Light blue-Light Gold,Female,Spring / Summer 2018,BAGS,5,0,11750.70044
BORSA PITONE CON LIVREA DIPINTA A MANO-Multicolor-Light Gold,Female,Fall / Winter 2017-2018,BAGS,10,1,31308.23853
BORSA PITONE LUCIDO-Pink-Tribute Gold,Female,Spring / Summer 2018,BAGS,0,0,13423.24353
BORSA PITONE SEMILUCIDO LIVREA-Agate Emerald Green Light Gold,Female,Fall / Winter 2017-2018,BAGS,1,0,3075.30542
BORSA RASO +  RICAMO CORONE + NAPPA-Black-Multicolor-Vintage Gold,Female,Spring / Summer 2018,BAGS,2,0,17695.5177
BORSA SHOPPING CALF-Black Warm Gold,Male,Fall / Winter 2017-2018,BAGS,60,1,202871.1663
BORSA VERNICETTA-Black-Light Gold,Female,Fall / Winter 2017-2018,BAGS,18,1,36758.60284
BORSA VITELLO +  RICAMO CORONE-Old White-Multicolor-Vintage Gold,Female,Spring / Summer 2018,BAGS,5,2,48166.60767
BORSA VITELLO + BORCHIE-BLACK-LIGHT GOLD-RUTHENIUM,Female,Spring / Summer 2018,BAGS,38,2,152872.5695
BORSA VITELLO + BORCHIE-BLACK-TRIBUTE GOLD,Female,Spring / Summer 2018,BAGS,31,1,117177.9532
BORSA VITELLO + BORCHIE-Light Blue-Black-Tribute Gold,Female,Spring / Summer 2018,BAGS,14,0,62172.83386
BORSA VITELLO + BORCHIE-Lilac-Black-Tribute Gold,Female,Spring / Summer 2018,BAGS,1,0,13768.46484
BORSA VITELLO + BORCHIE-Optical White-Light Gold-Ruthenium,Female,Spring / Summer 2018,BAGS,6,1,28977.41077
BORSA VITELLO + CAMOSCIO-Black-Energy Yellow-Black-Light Gold,Female,Fall / Winter 2017-2018,BAGS,3,0,7503.265625
BORSA VITELLO + CAMOSCIO-Lemon-Lilac-Black-Light Gold,Female,Spring / Summer 2018,BAGS,6,0,16278.26483
BORSA VITELLO + MOTIVO BAROCCO + PATCH FIORI-LILAC-VINTAGE GOLD,Female,Spring / Summer 2018,BAGS,0,0,5471.583496
BORSA VITELLO + RICAMO CROCE-Black-Multicolor-Tribute Gold-Palladium,Female,Spring / Summer 2018,BAGS,19,2,70496.65955
BORSA VITELLO + RICAMO-Black-Multicolor-Tribute Gold,Female,Spring / Summer 2018,BAGS,20,2,106446.4619
BORSA VITELLO + RICAMO-Black-Multicolor-Tribute Gold-Palladium,Female,Spring / Summer 2018,BAGS,21,1,92655.552
BORSA VITELLO + TESSUTO STAMPA JUNGLE-BLACK-MULT ORGANGE-TRIBUTE GOLD,Female,Spring / Summer 2018,BAGS,45,2,118260.5012
